user,location,tweet
Antonio91883664,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
Josehumpie1,,RT @MinTransporteCo: ¡Toda Colombia agradece a nuestros #HéroesEnLaVía! Hombres y mujeres valientes que hacen que durante el Aislamiento Ob…
fiquires,,"RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
mvgbienesraice2,"Bogotá, D.C., Colombia","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
ClaraIn02761527,"Cúcuta, Colombia","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
Claudia63003233,"Bogotá, D.C., Colombia","RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…"
csegundacamara,"Bogota, Colombia","RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
carlosvargas182,"Bogotá, D.C., Colombia",Hoy destaco el trabado de estos #HéroesEnLaVia - transportadores y militares. Ellos hacen posible el abastecimiento… https://t.co/QGg4yDIliK
Selene25719771,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
patlondou,Colombia,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
64FLOR,"Bogotá, D.C., Colombia","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
Marfibamo,,En tiempo de coronavirus es importante agradecer a quienes hacen el esfuerzo por mantener la actividad productiva a… https://t.co/3vMtqz1TTn
KevinAl46840815,,"RT @TransitoPolicia: #PrevenciónyAcción Es grato ver nuestra bandera de Colombia, en honor a los #HéroesEnLaVía, reconocemos esta ardua lab…"
StellaC38516016,,RT @orozco_angela: #HéroesEnLaVía Los niños y niñas hoy agradecen a nuestros transportadores y trabajadores en la vía. Gracias Laura Manuel…
SorySarmiento,,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
Elizabe26499444,"Bogotá, Colombia","RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
Gabriela830gma1,,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
DRAGONMAKTO,"Santa Marta, Colombia","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
yepes536,"Colombia,eje cafetero.","RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
JorgeMartinezOl,Caribe,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
AeroCivilCol,"Bogotá, D.C., Colombia",RT @JuanFEspinosaP: Mira este video e inspírate para compartir tu mensaje en redes sociales con el hashtag #HéroesEnLaVía y reconocer heroi…
AeroCivilCol,"Bogotá, D.C., Colombia","RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…"
AutopCafe,Dosquebradas - Risaralda,Existen miles de colombianos que cada día hacen posible hacer llevadera esta crisis: aplaudimos y agradecemos la la… https://t.co/rPsYSfqL4g
avima777,en Barranquilla,RT @emisoraejercito: Nuestros héroes del @COL_EJERCITO inician el día con toda la disposición de seguir trabajando por la seguridad del paí…
ferchitogopa,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
jorgeor85454163,Bucaramanga,"RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
94Regimen,medellin-antioquia-colombia,RT @AVA_antioquia: Un agradecimiento muy especial en todo el país a nuestros #HeroesEnLaVia siempre construyendo país y atentos a toda cala…
