user,location,text,sentiment,probability
GobDeCoahuila,Coahuila de Zaragoza,"📍#REPORTE #COAHUILA DEL PLAN ESTATAL DE PREVENCIÓN Y CONTROL DEL #COVID_19

• Actualización de las 🕚 19:00 horas.… https://t.co/fKKQk6uSTO",Positivo,67
LaudEstereo,Bogotá - Colombia,"#COVID19 #Reporte🦠 presentamos los datos actualizados sobre la situación del coronavirus en Colombia, Latinoamerica… https://t.co/YFCnrLOStD",Positivo,65
SaludMonteria,Montería,"#Reporte Sobre los contactos estrechos del paciente positivo para Covid-19 en Lorica, quien trabaja y reside en la… https://t.co/oyH88fObmM",Positivo,70
alcaldiacarepa,"Carepa, Colombia","#Reporte📣
#EtapaDeMitigación📊

📌En #Carepa,a la fecha, no se reportan casos confirmados de pacientes con Coronaviru… https://t.co/Gldd1VAsJX",Positivo,64
ConclusionRos,"Rosario, Argentina","#Coronavirus #Reporte | Las víctimas fatales suman 27 en el país, mientras que los casos son 1054 en total.

https://t.co/gzYyd30rZF",Positivo,58
Sedesusinaloa1,"Sinaloa, México","#Reporte

La calidad del aire en Sinaloa es buena.
En la semana del 23 al 29 de marzo los niveles de contaminación… https://t.co/iNRDtzYVUY",Positivo,81
OmarDuartGarcia,COLOMBIA,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/ytKWRZG5eK",Positivo,66
Soachacomunica,"Soacha, Cundinamarca","#Reporte🦠
El @MinSaludCol confirma 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906… https://t.co/sdBkNKTxgd",Positivo,63
Canalmonteria,"Montería, Córdoba","#Reporte Confirmados 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/9SJ3x5cUKz",Positivo,66
Moises31406791,España,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/GeLW8Ykb9l",Positivo,66
neojack64,COLOMBIA,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/g6fOA10eQX",Positivo,66
InnSocialWeb,,"ATENCIÓN
#Reporte @MinSaludCol - 31 de marzo 2020. #Covid19Colombia https://t.co/FcBcjCBVaV",Positivo,70
INAMEH,Venezuela,#31Mar #INAMEHInforma  Nubosidad fragmentada  y áreas despejadas en el resto del país. #Reporte de las 17:45 HLV… https://t.co/HV4yFegLd0,Positivo,66
INAMEH,Venezuela,#31Mar #INAMEHInforma  En la Imagen de satélite en canal visible se observa nubosidad convectiva generadora de prec… https://t.co/qrtItQu3Zs,Positivo,69
INAMEH,Venezuela,#31Mar #INAMEHInforma Condiciones Meteorológicas próximas 06 Horas #Reporte de las 18:00 HLV @tutiempopereira… https://t.co/nN16FVNCJm,Positivo,70
CanalSurPatagon,"Coyhaique, Región de Aysén, Patagonia, Chile","🔴⚠️ #Reporte Sanitario por #COVID19 en la región de #Aysén Martes 31 de marzo 2020
#CuidemonosEntreTodos
Fuente:… https://t.co/DP0qh38g07",Positivo,72
conceptsmedical,"Bogotá, D.C., Colombia","#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/Z5EO5WGenW",Positivo,66
Lafmneiva,Neiva-Huila,"@MinSaludCol #Reporte🦠Confirma 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pac… https://t.co/J1b5kfFPsr",Positivo,63
Puebla_Enterate,"Puebla, México",#Reporte Semáforo sin funcionar en calle 13 Sur y calle 19 Poniente en sentido de Sur a Norte @MovilidadPue. https://t.co/07sCB77HHH,Positivo,59
BlogDelRegio,México,Toda la información sobre el panorama del #Coronavirus en #NuevoLeón en la siguiente liga: 👉🏽… https://t.co/w8ApZT0Jkb,Positivo,73
Puebla_Enterate,"Puebla, México","#Reporte Semáforo no funciona en circuito interior y calle 31 Sur, sentido de Oriente a Poniente @MovilidadPue. https://t.co/qzcVvga3Mw",Positivo,61
Puebla_Enterate,"Puebla, México",#Reporte En la 27 Poniente y 13 Sur no funciona el semáforo @MovilidadPue. https://t.co/4O66uR8Oz8,Positivo,63
boyacasietedias,Boyacá,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/fLF6HdLHVd",Positivo,66
aldianoticiasco,"Boyacá, Colombia",#Reporte oficial para hoy 31 de marzo de casos confirmados según el @MinSaludCol 108 nuevos casos de coronavirus y… https://t.co/YvwfKvdJqO,Positivo,74
rccarlosj,Venezuela,#Reporte al 30/03/20 / Informó la Vicepresidenta Delcy Rodríguez: Venezuela registra 6 nuevos casos de Covid-19 par… https://t.co/vK7kuKb1j0,Positivo,70
jimmyanjel,medellin-antioquia-Colombia,"#Reporte🦠Confirmados 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/iomIjkjwWn",Positivo,66
VillavoNotiWeb,Colombia,"#ATENCIÓN
#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pac… https://t.co/eC6nKobEHd",Positivo,66
dalucuor,Colombia,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/Jly9dmZuot",Positivo,66
RedDeApoyoSIC,Santiago De Cali,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/seUnw0hwTT",Positivo,66
Canal12vpar_,"Valledupar, Cesar, Colombia","#Reporte🦠Confirman 108 nuevos casos de coronavirus y 2 fallecidos más en Colombia, para un total de 906 pacientes c… https://t.co/anXU3fw8VN",Positivo,68
avanewstv,Worldwide ,"#Reporte🦠 108 nuevos casos de coronavirus en #Colombia y 2 fallecidos en Colombia, para un total de 906 pacientes c… https://t.co/m03FN1tJA8",Positivo,68
RMADRID_CF_1902,,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/4nE1nz01Gb",Positivo,66
CarlosChinLopez,"Montería, Colombia","ATENCIÓN | Reporte del Covid-19 del día de hoy martes 21 de marzo:

#Reporte🦠Confirmamos 108 nuevos casos de corona… https://t.co/16akpcXHcR",Positivo,79
RioNoticiasCo,"Córdoba, Colombia","ATENCIÓN | Reporte del Covid-19 del día de hoy martes 21 de marzo:

#Reporte🦠Confirmamos 108 nuevos casos de corona… https://t.co/T3XGSqE66W",Positivo,79
laprimerisima91,,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/JmW1vc6IVX",Positivo,66
EcosdePasto,"Pasto, Colombia","#Reporte🦠Se confirman 108 nuevos casos de coronavirus, 2 fallecidos y 31 recuperados  en Colombia, para un total de… https://t.co/A913PbuUJG",Positivo,66
ese_imsalud,"Cúcuta, Colombia","#Reporte
El Ministerio de Salud🦠Confirma 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total… https://t.co/POYNjuTkHM",Positivo,60
Olimpicacali,Cali Colombia 104.5 Fm,"🚨 OLÍMPICA stereo informa:
.
#Reporte🦠 El ministerio de salud Confirma 108 nuevos casos de coronavirus y 2 fallecid… https://t.co/oUcmTVKSKz",Positivo,62
magazincesar,"Cesar, Colombia","#Noticias #colombia #Covid_19
#Reporte🦠

Se Confirman 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, p… https://t.co/eGFiKfJeeV",Positivo,68
CodNoticiasCol,"Cúcuta, Colombia","⬆️ #Reporte 🦠Confirmamos 👉🏽108 nuevos casos de #coronavirus y 2 fallecidos en #Colombia, para un total de 👉🏽906 pac… https://t.co/uK5InKH6qL",Positivo,66
NotiAtlantico1,Colombia,"El Dpto del Atlántico lleva  33 casos de Covid-19, 29 son en Barranquilla y 1 fallecido en el Atlántico .… https://t.co/MeAwLqzRkq",Positivo,56
EnTertulia_,"Medellín, Colombia","@MinSaludCol #Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906… https://t.co/B8SeYCBX4W",Positivo,66
BananaStereo,"Chigorodó (Urabá), Antioquia","#Reporte 🦠 #CoronaVirus 
Se confirman hoy martes 31 de marzo 108 nuevos casos de coronavirus y 2 fallecidos en Colo… https://t.co/zoASYivLSr",Positivo,77
caracolguaviare,San José del Guaviare ,"#Reporte🦠Confirmamos 108 nuevos casos de coronavirus y 2 fallecidos en Colombia, para un total de 906 pacientes con… https://t.co/y6L8mO6G1v",Positivo,66
