user,location,tweet,sentiment,probability
DmocraciaLight,Colombia,"@kaisarobarto @Amberlita2000 Hola. Te invitamos a leer “La decisión inteligente de @ClaudiaLopez” Alcaldesa, no olv… https://t.co/HKdmOoaQrP",Positivo,71
DmocraciaLight,Colombia,"@Amberlita2000 Hola. Te invitamos a leer “La decisión inteligente de la @ClaudiaLopez” Alcaldesa, no olvide consejo… https://t.co/kfYGjxQzgV",Positivo,75
AldenArmando,"Bogotá, Colombia",@LuisErnestoGL el #PicoyGenero no es un programa concurso para saber si las mujeres o los hombres son más juiciosos… https://t.co/VbAUFwSiYB,Positivo,61
angelloherre,"Medellín, Colombia","@ClaudiaLopez Claudia, si no cambia ese #PicoyGenero permisivo y poco efectivo para evitar la propagación, no sólo… https://t.co/eGnihnmz2j",Positivo,58
eddy_9227,,@anddresCol @ClaudiaLopez Oiga enserio? Su mamá inhalaba bóxer durante el embarazo? Entre más lo pienso más incoher… https://t.co/HVD3ySHfaM,Positivo,67
jemalak,Bogota Colombia ,"Hoy 3pm mujer tacon rojo 7cm,blusita de tiras, escote profundo,Jean ajustado,melena negra,va por la mitad de la cal… https://t.co/jFwdBP8zVI",Positivo,71
OmarSchmied,,"Pregunta del millón: Que carajos hacia @ElJuliSastoque  en la calle hoy?, si por #PicoyGenero el debía quedarse en… https://t.co/uBOKKNwlk4",Positivo,60
OmarSchmied,,"@ElJuliSastoque A ver idiota, hoy era el día de salir mujeres a la calle por #PicoyGenero  es obvio que iba a haber… https://t.co/XyZKbLR1zi",Positivo,72
Caribeafirmativ,"Barranquilla, Atlántico",La @AlcaldiaCTG  mediante decreto 0538 ha creado el #PicoyGenero que pone en riesgo la vida de las personas trans e… https://t.co/HHz6WzMdfn,Positivo,60
andresmlopezc,"Bogotá, D.C., Colombia",@claudiacaste @Bogota Asi es Senadora. Claudia López debe eliminar cuanto antes el #PicoyGenero. La salud nacional… https://t.co/fNMCnjYVff,Positivo,57
claudiacaste,Bogota,#PicoyGenero es deficiente porque: restringe la movilidad únicamente en un 50% y no en un 80% como sí lo hace el… https://t.co/Ykhxcz4by0,Positivo,65
americanotuvozm,,"@ClaudiaLopez #PicoyGenero
Par: @Amparo_Grisales
         Impar: Su doble.
🤣🤣🤣🤣 https://t.co/ScUCdHBKvn",Positivo,69
pandoramorada,,"Amigas me preguntan si es verdad la medida de #PicoyGenero en Bogotá, les parece impensable, arbitraria y ridícula.",Negativo,47
Andresc1927,Colombia,"Recuerden el #PicoyGenero en Bogotá aplica asi:

Día par: Mujeres
Día Impar: Hombres.

*No se vayan a hacer los mrk… https://t.co/S750VlOEhm",Positivo,68
ClaudiaLopez,"Bogotá, DC, Colombia","Hoy, segundo día de #PicoyGenero y primero para salida solo para mujeres, volvemos a tener reporte positivo!

Bajó… https://t.co/52HVgSTkdt",Positivo,68
LasFerER,El putiadero,Firma y comparte #PicoyGenero https://t.co/SOPMW25HDx,Positivo,70
andresmarquino,Bogotá D.C.,6️⃣1️⃣0️⃣ es el número de hombres a quienes se les impuso comparendo en el segundo día de #PicoyGénero por desacata… https://t.co/SBFZgtadBN,Positivo,68
FernandoFds83,,La puta madre para los hombres que violen el #PicoyGenero,Positivo,62
dmlopeza09,Washington DC,"Y una mas sobre la experiencia d #PicoyGenero en Peru 
""Así pues, no estamos tan cerca de la igualdad como creemos… https://t.co/mEcuab4Z5t",Positivo,74
FenalcoBogota,Cr. 4 Nº 19-85,Disminuyó en promedio 60% la afluencia de personas en #supermercados durante primeros días de #PicoyGenero en… https://t.co/pzgHWZCczT,Positivo,68
andresmarquino,Bogotá D.C.,"En el segundo día de ""#PicoyGénero"" se reportó la disminución en las filas de los establecimientos de comercio segú… https://t.co/S5phlWE2Pa",Positivo,68
SupraHumanoBand,"Bogotá, D.C., Colombia","La experiencia de salir a la calle hoy con el #PicoyGenero es que había demasiadas mujeres: comercios, bancos, call… https://t.co/pwEDVrY2Pb",Positivo,70
galviscorreas99,,"En conjunto este tipo de medidas solo ""alborota el avispero"", en una sociedad que aún es bastante ignorante e intol… https://t.co/KlXnDK3RW5",Positivo,59
RedMasNoticias,Colombia,"#Bogotá | Algunos hombres no acataron la restricción de #PicoyGénero en la capital del país.  

El secretario de Go… https://t.co/anzXyaQrbL",Positivo,73
galviscorreas99,,"Ya que hablamos de NB, me pregunto, según el texto del decreto, que pasa con los no binarixs?, no les aplica?,no pueden salir?
#PicoyGenero",Positivo,55
galviscorreas99,,"El decreto habla de ""sexo"" no de género, me pregunto porque esta denominación incorrecta que desconoce las entidade… https://t.co/3Kf2qfNc1M",Positivo,64
galviscorreas99,,Me pregunto como la alcaldesa López va a tratar con la posible aún incipiente transfobia presente en la sociedad y… https://t.co/NFU6mv3slJ,Positivo,62
gi_consultores1,"Quibdó, Colombia",@AlcaldiaQuibdo Como así que #PicoyGenero  por favor aclarar,Positivo,63
Adandrea06,Colombia ,Nosotras si sabes que arroz y aceite comprar ! 💪🏻💖 #PicoyGenero https://t.co/WyAtSEcNEO,Positivo,65
spencerbejarano,"medellin, colombia",@AlcaldiaQuibdo #PicoyGenero? ??? Este decreto no habla de eso.,Positivo,62
ayduchis,Comunidad de la Monotonía,@ElJuliSastoque Alguien que le explique a este atembado que se ven más mujeres que hombres por el #PicoYGénero y ho… https://t.co/GF7ouUqu1n,Positivo,68
jdmarinou,Bogota D.C.,"El #PicoyGenero ha ""desnudado"" varias realidades:

1. Bogotá es machista.
2. El concejal más jóven no sabe escribir… https://t.co/LJgQnXWDUR",Positivo,59
EzerGODOY,colombia,"@ClaudiaLopez respetada alcaldesa, hoy tengo una duda y es sobre el #bonoescolar, el cual debo reclamar el día 16 d… https://t.co/gwAZxluVRp",Positivo,71
rzneas,! A la derecha de la derecha !,"#TrabajoSiHay Bogotá.

Se necesita “Marimacho, Machorro o Travesti
Ayude a descargar camiones en Corabastos durante… https://t.co/T3RcMpH1jf",Positivo,71
ElReyPepynito,,@ElJuliSastoque la única manera de que usted hoy haya visto muchas más mujeres que hombres afuera es porque usted s… https://t.co/TPJsmLQsFB,Positivo,84
Carolin51050975,,@ElJuliSastoque Hoy la mayoría d mujeres q encontré eran ancianas y en filas q antes d #PicoYGenero no se presentab… https://t.co/O0ErxNsW7P,Positivo,74
Carolin51050975,,@ElJuliSastoque Ustedes como representantes locales deben medir impactos de las medidas! Por ética y responsabilida… https://t.co/u0XoK8Kwi0,Positivo,62
Carolin51050975,,@ElJuliSastoque https://t.co/Z6QoPGKmJX ustedes amigos de la alcaldesa hubieran hecho la tarea de investigar y prev… https://t.co/jLEWA9Lm55,Positivo,70
LuisErnestoGL,"Bogotá, Colombia",Cerramos muy bien nuestro segundo día de #PicoYGenero. Fenalco Bogota reporta una disminución notable en las filas… https://t.co/vg7XSjmqyJ,Positivo,77
JIMOTE,Bogotá,"@ElJuliSastoque Se ven más mujeres q hombres mercando, xq es evidente que son mejores gerentes del hogar q nosotros… https://t.co/hcnk3YJjrO",Positivo,72
Carolin51050975,,Hoy la mayoría d mujeres q encontré eran ancianas y en filas q antes d #PicoYGenero no se presentaban.Le dejo otro… https://t.co/IMLu88usGK,Positivo,76
Carolin51050975,,Ustedes como representantes locales deben medir impactos de las medidas! Por ética y responsabilidad social!… https://t.co/9eZre3ay14,Positivo,55
carito3025,Colombia,"@mapatilla Dejo esto por aquí.
Una anécdota sobre lo que trae consigo la medida del #PicoyGenero. https://t.co/McEqtCAKyi",Positivo,71
Carolin51050975,,https://t.co/Z6QoPGKmJX ustedes amigos de la alcaldesa hubieran hecho la tarea de investigar y preveer el impacto s… https://t.co/Br1gRIk1wN,Positivo,71
JIMOTE,Bogotá,¿Será porque hoy es día par y solo pueden salir las mujeres a la calle? 🤔😂🤦🏾‍♂️ #PicoyGénero https://t.co/aqzOPzWCVB,Positivo,61
ArcoirisRlca,,"🗣Desde la ciudad de Bogotá, compartimos el PROTOCOLO de prevención y respuesta en caso de violencia o abuso de auto… https://t.co/haAQYx4PoT",Negativo,60
Marovaan,Bogotá ,Hoy en el #PicoyGenero las mujeres dijeron presente en #Bogotá https://t.co/OcWcdikC22,Positivo,77
jazminsan7,,"#PicoyGenero todos son sólo entes estúpidos, no saben quien son no tienen cordura ni sensatez, sólo chusma creyendo… https://t.co/V4xsZ0cDdw",Positivo,68
GaboBenavidesB,Bogotá - Colombia,"A las denuncias de la comunidad trans por la violencia de @PoliciaBogota contra ellas, hoy se suma otra queja al… https://t.co/SSak0g0jUb",Positivo,54
CebollaDiego,,Día par #PicoyGénero https://t.co/E8dGfmSH63,Positivo,69
