COD_INMUEBLE,NOM_SUCURSAL,NOM_BARRIO,NOM_CIUDAD,ESTRATO,TIPO_INMUEBLE,AREA,VLR_CANON,VLR_ADMINISTRACION,FECHA_CONSIGNACION,FECHA_RECONSIGNACION,FECHA_CONTRATO,COD_ESTADO_CONTRATO
900,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,CUATRO,LOCAL,22,812340,251700,'19/06/2013',,'16/07/2013',INACTIVO
901,BUCARAMANGA,EL PRADO,BUCARAMANGA,CUATRO,LOCAL,30,1000000,291000,'19/06/2013',,'23/11/2019',VIGENTE
902,BUCARAMANGA,EL PRADO,BUCARAMANGA,CUATRO,CASA,71,980210,291000,'19/06/2013',,'29/09/2018',INACTIVO
903,BUCARAMANGA,EL PRADO,BUCARAMANGA,CUATRO,APARTAMENTO,98,1115670,291000,'19/06/2013',,'01/07/2013',INACTIVO
904,BUCARAMANGA,LA AURORA,BUCARAMANGA,CUATRO,LOCAL,27,944580,388000,'13/12/2012',,'11/03/2014',VIGENTE
905,BUCARAMANGA,LA AURORA,BUCARAMANGA,CUATRO,CASA,84,1223280,388000,'13/12/2012',,'26/01/2013',INACTIVO
906,BUCARAMANGA,COAVICONSA,BUCARAMANGA,CUATRO,LOCAL,27,738990,128000,'14/12/2012',,'01/02/2013',VIGENTE
907,BUCARAMANGA,LOS HEROES,BUCARAMANGA,TRES,CASA,79,968430,0,'26/04/2013',,'24/05/2013',INACTIVO
908,BUCARAMANGA,LOS HEROES,BUCARAMANGA,TRES,APARTAMENTO,55,1106780,0,'26/04/2013',,'21/06/2014',INACTIVO
909,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,77,764550,0,'26/04/2013',,'04/05/2013',INACTIVO
910,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,47,851160,0,'26/04/2013',,'30/05/2014',VIGENTE
911,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,25,778500,0,'10/02/2014',,'12/03/2015',VIGENTE
912,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,LOCAL,28,700000,161000,'27/04/2013',,'20/07/2019',VIGENTE
913,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,CASA,49,1255140,161000,'27/04/2013',,'25/04/2014',INACTIVO
914,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,91,1100000,161000,'27/04/2013',,'16/05/2013',INACTIVO
915,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,APARTAMENTO,77,800000,305000,'22/06/2013',,'30/11/2018',VIGENTE
916,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,LOCAL,10,846820,305000,'22/06/2013',,'28/11/2015',INACTIVO
917,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,CASA,85,815520,305000,'22/06/2013',,'03/08/2013',INACTIVO
918,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,CASA,52,914140,216000,'27/06/2013',,'28/07/2017',INACTIVO
919,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,89,824230,216000,'27/06/2013',,'25/07/2013',INACTIVO
920,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,CASA,88,854160,216000,'27/06/2013',,'12/09/2015',INACTIVO
921,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,SEIS,APARTAMENTO,64,1100000,0,'16/05/2018',,'06/08/2013',INACTIVO
922,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,SEIS,APARTAMENTO,83,1278210,0,'16/05/2018',,'06/08/2013',INACTIVO
923,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,SEIS,CASA,42,1298160,0,'16/05/2018',,'12/05/2018',VIGENTE
924,BUCARAMANGA,BOLIVAR,BUCARAMANGA,SEIS,CASA,39,2824600,635000,'29/04/2013',,'05/08/2014',INACTIVO
925,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,46,1258720,195000,'28/12/2012',,'06/11/2015',VIGENTE
926,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,LOCAL,19,720440,195000,'28/12/2012',,'16/09/2000',INACTIVO
927,BUCARAMANGA,CONUCOS,BUCARAMANGA,CUATRO,APARTAMENTO,99,997580,174000,'07/03/2013',,'20/04/2013',VIGENTE
928,BUCARAMANGA,CABECERA DEL LLANO,BUCARAMANGA,SEIS,CASA,57,1260180,176200,'08/03/2013',,'15/05/2013',VIGENTE
929,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,CASA,86,2786680,0,'29/04/2013',,'17/02/2018',VIGENTE
930,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,APARTAMENTO,29,2977480,0,'29/04/2013',,'02/08/2013',INACTIVO
931,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,APARTAMENTO,31,2679500,0,'29/04/2013',,'17/02/2018',INACTIVO
932,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,APARTAMENTO,38,2500000,0,'29/04/2013',,'21/06/2013',INACTIVO
933,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,CASA,44,891850,207000,'21/04/2017',,'22/06/2017',INACTIVO
934,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,LOCAL,25,815520,207000,'21/04/2017',,'30/07/2013',INACTIVO
935,BUCARAMANGA,SOTOMAYOR,BUCARAMANGA,CINCO,APARTAMENTO,23,1121090,325000,'29/06/2013',,'24/01/2015',INACTIVO
936,BUCARAMANGA,SOTOMAYOR,BUCARAMANGA,CINCO,CASA,43,1121340,325000,'29/06/2013',,'11/09/2013',INACTIVO
937,BUCARAMANGA,SOTOMAYOR,BUCARAMANGA,CINCO,APARTAMENTO,77,1322740,325000,'29/06/2013',,'01/09/2016',VIGENTE
938,BUCARAMANGA,FONTANA,BUCARAMANGA,CUATRO,APARTAMENTO,32,960150,0,'28/12/2012',,'06/02/2013',VIGENTE
939,BUCARAMANGA,LA SALLE,BUCARAMANGA,CUATRO,CASA,69,700000,0,'28/12/2012',,'07/02/2020',VIGENTE
940,BUCARAMANGA,LA SALLE,BUCARAMANGA,CUATRO,LOCAL,24,680000,0,'28/12/2012',,'12/01/2019',INACTIVO
941,BUCARAMANGA,LA SALLE,BUCARAMANGA,CUATRO,CASA,62,662610,0,'28/12/2012',,'26/01/2013',INACTIVO
942,BUCARAMANGA,LA SALLE,BUCARAMANGA,CUATRO,CASA,54,846820,0,'28/12/2012',,'30/05/2015',INACTIVO
943,BUCARAMANGA,LA SALLE,BUCARAMANGA,CUATRO,LOCAL,24,725620,0,'28/12/2012',,'27/03/2014',INACTIVO
944,BUCARAMANGA,LA SALLE,BUCARAMANGA,CUATRO,APARTAMENTO,60,645360,0,'28/12/2012',,'30/11/2017',INACTIVO
945,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,LOCAL,27,846180,245000,'11/01/2013',,'09/02/2013',INACTIVO
946,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,LOCAL,10,792530,245000,'11/01/2013',,'09/02/2013',INACTIVO
947,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,APARTAMENTO,49,863970,245000,'11/01/2013',,'29/11/2017',VIGENTE
948,BUCARAMANGA,MEJORAS PUBLICAS,BUCARAMANGA,CUATRO,LOCAL,14,1056710,194000,'09/03/2013','04/09/2019','02/04/2013',INACTIVO
949,BUCARAMANGA,MEJORAS PUBLICAS,BUCARAMANGA,CUATRO,LOCAL,28,1089900,194000,'09/03/2013','04/09/2019','26/09/2019',VIGENTE
950,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,LOCAL,16,900000,0,'14/03/2013',,'14/03/2020',VIGENTE
951,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,LOCAL,22,900000,0,'14/03/2013',,'17/02/2018',INACTIVO
952,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,CASA,87,954500,0,'14/03/2013',,'01/06/2013',INACTIVO
953,BUCARAMANGA,CENTRO,BUCARAMANGA,COMERCIAL,CASA,64,2233030,0,'15/03/2013',,'03/03/2014',VIGENTE
954,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,CASA,32,600000,120000,'15/03/2013',,'13/08/2020',VIGENTE
955,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,APARTAMENTO,89,817080,120000,'15/03/2013',,'19/06/2014',INACTIVO
956,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,LOCAL,28,662610,120000,'15/03/2013',,'18/05/2013',INACTIVO
957,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,CUATRO,APARTAMENTO,28,1100000,0,'30/06/2013',,'28/05/2016',INACTIVO
958,BUCARAMANGA,LA AURORA,BUCARAMANGA,SEIS,LOCAL,26,968000,21000,'06/07/2013',,'01/07/2015',INACTIVO
959,BUCARAMANGA,LA AURORA,BUCARAMANGA,SEIS,LOCAL,25,600000,21000,'06/07/2013',,'07/04/2018',VIGENTE
960,BUCARAMANGA,LA AURORA,BUCARAMANGA,SEIS,LOCAL,16,800000,21000,'06/07/2013',,'10/10/2014',INACTIVO
961,BUCARAMANGA,LA AURORA,BUCARAMANGA,SEIS,APARTAMENTO,96,700000,21000,'06/07/2013',,'07/04/2018',INACTIVO
962,BUCARAMANGA,COAVICONSA,BUCARAMANGA,TRES,CASA,92,600000,110000,'15/03/2013',,'10/12/2019',INACTIVO
963,BUCARAMANGA,COAVICONSA,BUCARAMANGA,TRES,APARTAMENTO,81,662610,110000,'15/03/2013',,'03/05/2013',INACTIVO
964,BUCARAMANGA,COAVICONSA,BUCARAMANGA,TRES,CASA,67,664070,110000,'15/03/2013',,'22/07/2014',INACTIVO
965,BUCARAMANGA,COAVICONSA,BUCARAMANGA,TRES,APARTAMENTO,69,715490,110000,'15/03/2013',,'28/10/2016',INACTIVO
966,BUCARAMANGA,EL TEJAR,BUCARAMANGA,CINCO,CASA,96,1049270,274000,'09/05/2013',,'20/06/2013',INACTIVO
967,BUCARAMANGA,EL TEJAR,BUCARAMANGA,CINCO,CASA,95,1026000,274000,'09/05/2013',,'22/03/2017',VIGENTE
968,BUCARAMANGA,BOLARQUI,BUCARAMANGA,CINCO,CASA,41,1300000,364000,'20/03/2013',,'19/09/2020',VIGENTE
969,BUCARAMANGA,BOLARQUI,BUCARAMANGA,CINCO,CASA,57,1268050,364000,'20/03/2013',,'04/04/2013',INACTIVO
970,BUCARAMANGA,BOLARQUI,BUCARAMANGA,CINCO,APARTAMENTO,48,1469100,364000,'20/03/2013',,'25/11/2015',INACTIVO
971,BUCARAMANGA,ANTIGUO CAMPESTRE,BUCARAMANGA,SEIS,LOCAL,16,8412920,0,'13/07/2013',,'26/06/2014',VIGENTE
972,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,88,1418020,229000,'24/01/2013',,'16/03/2013',VIGENTE
973,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,CUATRO,CASA,54,749700,0,'22/03/2013',,'29/12/2018',VIGENTE
974,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,CUATRO,APARTAMENTO,46,770000,0,'22/03/2013',,'30/01/2016',INACTIVO
975,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,CUATRO,CASA,95,845370,0,'22/03/2013',,'08/05/2013',INACTIVO
976,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,CUATRO,APARTAMENTO,66,591340,273400,'17/05/2013',,'31/05/2016',VIGENTE
977,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,CUATRO,APARTAMENTO,55,739700,273400,'17/05/2013',,'14/09/2013',INACTIVO
978,BUCARAMANGA,SOTOMAYOR,BUCARAMANGA,SEIS,APARTAMENTO,42,1761460,397000,'17/05/2013',,'29/07/2014',INACTIVO
979,BUCARAMANGA,SOTOMAYOR,BUCARAMANGA,SEIS,APARTAMENTO,93,1325220,397000,'17/05/2013',,'19/07/2013',INACTIVO
980,BUCARAMANGA,CENTRO,BUCARAMANGA,CUATRO,CASA,28,15036310,0,'16/07/2013',,'27/07/2013',VIGENTE
981,BUCARAMANGA,MEJORAS PUBLICAS,BUCARAMANGA,CUATRO,APARTAMENTO,95,829280,82000,'27/03/2013',,'30/05/2014',INACTIVO
